x,y
466.8347778,182.6494751
466.8715515,174.1877136
535.4803467,174.5620422
540.9608154,181.9057922
532.50354,178.238266
533.4953003,187.1162872
541.942749,190.4932709
533.6483765,192.5740509
527.9252625,187.2049713
528.2932739,177.2370911
548.8300171,178.7541046
555.0297241,184.165863
560.0518188,192.6272736
562.1322632,202.3930664
562.9364624,212.3529053
560.1193237,221.4154205
550.6032104,219.226944
541.4628906,215.1938324
534.0712891,208.662796
539.8151855,208.0198822
548.4060669,213.1096649
557.5625,215.8536072
558.0765381,205.9433136
556.5279541,196.0788727
551.5679321,188.2150116
545.387085,182.586853
441.0720215,184.1743317
447.367981,186.7481079
448.3744812,192.3179016
444.478363,200.6851501
436.8939514,204.6716156
427.7575989,202.5693359
424.5625305,193.2240448
427.0330811,183.9015045
433.460144,189.0425568
429.2475586,197.0864716
436.6567383,196.842392
438.7494202,188.1552887
460.5809937,184.1918488
463.3331604,192.988266
458.9595032,198.4140778
454.0352783,193.6197357
455.4430542,187.8290863
372.3253784,186.522644
373.6075745,196.1226349
369.7810669,201.8781281
377.6098328,203.1529846
369.861084,207.1850739
363.2944641,200.1289215
363.8390503,190.3450317
371.4136963,185.895752
301.0395508,195.7240143
302.1540527,198.7857819
304.6792297,189.1944733
311.2960205,193.3577271
313.0911255,203.171936
313.7450562,213.1433411
313.125,223.1094666
309.9362793,232.5099945
301.5643311,236.9824219
294.539093,230.7313538
292.2538757,221.3197632
298.7561951,226.4882813
305.5224304,228.3590851
307.8961182,218.6978149
308.2451477,208.7147064
306.6147766,205.0297394
299.5769958,210.3880615
295.6897278,201.69841
293.9693909,192.6631165
296.0890503,187.8118134
268.628418,195.2091217
266.8542328,204.8965607
260.6425018,212.6488037
260.3076935,222.5158844
259.865921,232.5014496
258.6235046,242.4155884
253.7423553,250.7238007
247.1055603,246.3970032
251.7099457,243.0319061
254.4098511,236.4000702
255.6010284,226.4797363
256.0058136,216.4914856
255.563797,207.394455
254.567688,197.4576874
256.3278503,189.233078
385.5864868,190.3464355
383.1694946,193.5402679
385.9060974,198.7750092
393.1700134,203.4621735
384.0464172,205.1657867
378.5015869,197.8729248
378.986145,188.3828735
429.247406,188.4980316
287.2998962,196.949234
285.3888855,206.6028748
279.9970703,213.8731689
279.8299255,223.8688049
279.0309753,233.8301697
276.295105,243.378891
268.7227325,243.6031036
273.6401367,235.5652161
275.1374817,225.6892853
275.6753387,215.7086182
275.5809937,205.7134399
274.8530273,195.7451019
278.9906311,188.4802399
241.1099396,191.8557587
243.9425354,198.8526306
